GINI Index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
211,45.551,45.767,45.982,46.198,46.413,46.629,46.505,46.381,46.258,46.134,46.011,45.643,45.276,44.908,44.541,44.173,43.806,43.36,42.915,42.469,42.024,41.579,41.147,40.715,40.284,39.852,39.42,39.42,39.42,39.42,39.42
212,47.58,47.381,47.182,46.983,46.784,46.783,46.782,46.781,46.78,46.779,46.778,46.777,46.776,47.512,46.822,47.772,45.664,44.475,44.267,45.273,44.684,44.515,44.184,43.683,43.01,43.526,44.166,44.363,44.441,43.463,44.66
213,35.778,35.778,35.778,35.778,36.815,37.853,38.89,39.927,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964,40.964
214,50.267,50.231,50.195,50.374,50.553,50.419,50.285,50.767,51.29,51.845,52.288,52.171,51.863,51.412,50.817,49.997,49.421,49.464,49.311,49.26,48.788,48.128,47.68,47.643,47.278,47.011,47.18,47.384,47.9,48.39,48.968
215,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146,40.146
216,56.998,56.433,55.868,55.303,54.895,54.487,54.078,53.67,54.625,55.58,56.536,57.017,57.499,57.98,57.475,56.97,56.465,56.68,56.895,57.109,57.324,56.599,55.873,55.148,55.439,55.729,56.02,56.311,56.282,56.253,56.225
217,27.983,30.345,32.708,32.096,35.957,39.818,36.748,35.19,33.631,32.073,32.113,32.153,32.193,31.911,32.121,32.162,32.747,30.676,30.366,29.399,28.98,28.838,28.926,28.788,28.341,29.447,29.099,29.952,29.943,30.334,29.642
218,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,32.585,30.929,29.273,27.617,25.96,25.96
219,35.381,36.078,36.052,36.025,35.998,35.972,35.523,35.243,35.68,36.548,36.711,39.424,37.792,35.65,35.437,35.375,36.114,36.629,35.076,36.003,35.774,33.702,33.195,33.095,32.691,33.136,33.332,33.086,32.624,33.689,33.689
220,51.893,51.574,51.255,51.421,51.587,51.752,51.918,52.084,52.25,52.416,52.582,52.747,53.094,53.44,53.786,54.132,54.478,54.825,54.445,54.065,53.684,53.304,52.924,53.249,53.573,53.898,54.222,54.546,54.871,54.871,54.871
221,37.834,37.963,38.092,38.409,40.364,39.992,39.772,40.21,40.467,39.938,39.954,40.082,40.537,40.325,40.775,40.21,40.921,41.495,40.941,40.754,40.586,39.989,40.887,40.897,40.619,41.487,41.205,41.088,41.148,41.36,41.491
222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
223,42.654,42.355,42.055,41.89,41.724,41.558,41.406,42.119,43.127,43.369,43.612,45.924,46.892,46.832,47.196,45.908,46.487,46.908,45.838,45.551,44.56,42.15,39.896,40.862,40.335,40.629,40.171,39.986,40.234,40.194,40.796
224,29.337,30.653,31.97,33.286,35.43,37.575,39.719,41.863,44.008,40.719,37.43,36.274,35.118,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85,36.85
225,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.421,39.052,38.683,38.314,37.944,37.575,37.206,36.837,36.468,36.098,35.729
226,37.087,36.696,36.306,38.002,39.698,41.394,42.098,42.803,42.029,41.923,38.96,41.606,41.517,39.769,39.824,43.025,40.097,38.896,37.785,37.853,36.42,36.789,38.149,38.609,37.448,37.448,37.448,37.448,37.448,37.448,37.448
227,37.562,37.562,37.562,37.562,37.517,37.472,37.427,37.382,37.337,37.749,38.162,38.574,38.987,38.866,38.746,38.232,37.718,39.501,41.284,41.562,41.84,39.72,37.6,36.501,35.403,35.662,35.922,36.165,36.409,36.409,36.409
228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
230,41.616,41.616,41.616,41.075,40.534,39.992,39.451,38.91,38.368,38.327,38.285,38.243,38.201,38.159,38.118,38.076,38.034,38.232,38.43,38.627,38.825,39.023,39.221,39.419,39.616,39.616,39.616,39.616,39.616,39.616,39.616
231,67.087,67.903,65.693,63.48,62.52,61.56,60.6,60.837,61.073,60.06,59.047,58.033,57.02,56.007,60.348,64.69,64.828,64.966,65.204,65.442,65.679,65.845,66.01,66.176,66.341,66.506,66.506,66.506,66.506,66.506,66.506
232,72.91,72.91,72.91,72.91,72.91,72.91,71.907,70.904,69.901,68.898,67.895,66.892,65.889,64.886,63.883,62.88,61.877,60.874,59.871,58.868,57.865,56.862,56.997,57.131,57.265,57.4,57.534,57.668,57.668,57.668,57.668
