"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
169,15741.63,12736.85,8877.36,8617.25,5861.63,5696.16,5372.14,5480.85,5124.35,4959.54,5074.38,5395.97,5830.34,6232.67,6710.47,7231.33,7599.52,7845.67,8473.75,7975.38,8550.17,9052.87,9000.66,9817.3,10314.41,10360.83,10942.55,11651.32,12363.15,13026.52,12324.39
170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
171,13302.47,11685.1,10757.39,10936.73,11383.29,12117.36,12627.2,12049.54,11829.42,11803.38,12109.55,12920.49,13909.67,14338.36,15924.05,16770.65,18224.78,19833.97,22044.31,21002.28,20303.16,20792.17,21311.13,22197.04,23084.37,23878.19,25145.01,27141.92,28523.47,29875.08,28828.13
172,21482.75,20340.13,17367.64,15870.61,13880.47,13308.2,12827.12,13028.21,12358.15,13189.79,14569.94,15378.09,16175.1,17434.81,18765.52,20042.81,21757.47,23647.27,24887.85,22939.69,23961.22,24972.08,25933.29,26332.4,26057.16,25488.1,25490.71,25926.44,26656.41,27210.55,26456.39
173,936.63,939.5,1051.32,1033.7,542.66,746.35,816.76,870.96,874.19,846.75,867.62,907.21,1003.02,1009.53,1069.3,1148.45,1226.24,1287.05,1393.03,1441,1507.17,1586.96,1682.21,1718.94,1780.14,1889.16,1950.53,1975.25,2088.75,2227.52,2098.71
174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,14210.26,13903.5,14386.59,15197.09,15819.39,16489.11,17290.23,18304.18,18060.01,18471.87,20114.4,20924.74,20945.14,19865.75,20403.65,22136.71,22601.93,22530.14,23706.37,22549.72,22223.91,22432.99,21740.15,22707.08,23921.24,23966.5,26953.06,26982.93,27499.03,28602.98,24319.36
177,11732.98,11610.33,12378.36,12307.82,12359.94,12422.66,12616.84,12356.33,12952.62,13129.93,12989.74,12432.27,12389.43,12826.22,13648.59,13460.57,14124.21,14169,14663.24,14065.42,14137.59,14789.97,14667.16,14133.48,14317.36,14057.61,14497.6,14928.4,15286.28,15200.87,12048.93
178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
